CTY_CODE,CTY_NAME,GEN_VAL_MO,time,year,month,quarter,mom_change,rolling_3_month_avg,rolling_6_month_avg,historical_mean,historical_std,deviation_from_avg,high_disruption_risk
-,TOTAL FOR ALL COUNTRIES,195796204072,2020-01-01,2020,1,1,,195796204072.0,195796204072.0,195796204072.0,,,0
-,TOTAL FOR ALL COUNTRIES,178107959988,2020-02-01,2020,2,1,-0.09034007665182064,186952082030.0,186952082030.0,186952082030.0,12507477339.079231,-0.7071067811865476,0
-,TOTAL FOR ALL COUNTRIES,193922847899,2020-03-01,2020,3,1,0.08879382994485785,189275670653.0,189275670653.0,189275670653.0,9716773485.092434,0.47826341255456284,0
-,TOTAL FOR ALL COUNTRIES,165611885689,2020-04-01,2020,4,2,-0.14599085418106628,179214231192.0,183359724412.0,183359724412.0,14245612342.495905,-1.2458459697135411,0
-,TOTAL FOR ALL COUNTRIES,163494079397,2020-05-01,2020,5,2,-0.012787767515533233,174342937661.66666,179386595409.0,179386595409.0,15203021858.561626,-1.0453524411036799,0
-,TOTAL FOR ALL COUNTRIES,179138115171,2020-06-01,2020,6,2,0.09568564092166798,169414693419.0,179345182036.0,179345182036.0,13598374509.856003,-0.015227324769583266,0
-,TOTAL FOR ALL COUNTRIES,199927697812,2020-07-01,2020,7,3,0.11605337379571545,180853297460.0,180033764326.0,182285541432.57144,14649794700.232464,1.2042596323311352,0
-,TOTAL FOR ALL COUNTRIES,203112048656,2020-08-01,2020,8,3,0.015927512189903625,194059287213.0,184201112437.33334,184888854835.5,15432916520.450403,1.1808003883356821,0
-,TOTAL FOR ALL COUNTRIES,206083668469,2020-09-01,2020,9,3,0.014630445769531208,203041138312.33334,186227915865.66666,187243834128.1111,16072224348.35752,1.1721983175784998,0
-,TOTAL FOR ALL COUNTRIES,218952608531,2020-10-01,2020,10,4,0.06244522022343468,209382775218.66666,195118036339.33334,190414711568.4,18170283740.068752,1.5705807003810732,0
-,TOTAL FOR ALL COUNTRIES,212453314812,2020-11-01,2020,11,4,-0.029683563774851374,212496530604.0,203277908908.5,192418220954.18182,18474247982.616787,1.0844876542022202,0
-,TOTAL FOR ALL COUNTRIES,214876750326,2020-12-01,2020,12,4,0.011406908459604459,215427557889.66666,209234348101.0,194289765068.5,18769733369.334396,1.0968182047345751,0
-,TOTAL FOR ALL COUNTRIES,204628270226,2021-01-01,2021,1,1,-0.0476946904886244,210652778454.66666,210017776836.66666,195085034696.0,18197972845.120914,0.5244120106794561,0
-,TOTAL FOR ALL COUNTRIES,193435057621,2021-02-01,2021,2,1,-0.05470022589077139,204313359391.0,208404944997.5,194967179190.64285,17489606921.578228,-0.08760182984744846,0
-,TOTAL FOR ALL COUNTRIES,236917164332,2021-03-01,2021,3,1,0.22478917340927462,211660164059.66666,213543860974.66666,197763844866.73334,20033906478.998955,1.9543527123035196,0
-,TOTAL FOR ALL COUNTRIES,226461821602,2021-04-01,2021,4,2,-0.04413079465761538,218938014518.33334,214795396486.5,199557468412.6875,20641550693.094994,1.3034075583435956,0
-,TOTAL FOR ALL COUNTRIES,230413997150,2021-05-01,2021,5,2,0.01745184031481406,231264327694.66666,217788843542.83334,201372558338.41177,21341307095.186367,1.3608088146643398,0
-,TOTAL FOR ALL COUNTRIES,242322118724,2021-06-01,2021,6,2,0.0516814157181944,233065979158.66666,222363071609.16666,203647533915.3889,22843366217.51115,1.693033524059346,0
-,TOTAL FOR ALL COUNTRIES,237302400922,2021-07-01,2021,7,3,-0.02071506236588072,236679505598.66666,227808760058.5,205418842705.21054,23504097011.641987,1.3565106628430346,0
-,TOTAL FOR ALL COUNTRIES,245231530985,2021-08-01,2021,8,3,0.033413610786037884,241618683543.66666,236441505619.16666,207409477119.2,24548302561.80091,1.5407197206642742,0
-,TOTAL FOR ALL COUNTRIES,244355844701,2021-09-01,2021,9,3,-0.0035708551852312587,242296592202.66666,237681285680.66666,209168827956.42856,25248560819.778015,1.3936246503605985,0
-,TOTAL FOR ALL COUNTRIES,251211888879,2021-10-01,2021,10,4,0.028057623039011936,246933088188.33334,241806296893.5,211079876180.18182,26219829940.46265,1.530597749487541,0
-,TOTAL FOR ALL COUNTRIES,259390162126,2021-11-01,2021,11,4,0.03255527946346204,251652631902.0,246635657722.83334,213180323395.21738,27526416772.089275,1.67874515282489,0
-,TOTAL FOR ALL COUNTRIES,256845242631,2021-12-01,2021,12,4,-0.009811164286808172,255815764545.33334,249056178374.0,214999695030.04166,28358467873.627243,1.475592679669193,0
-,TOTAL FOR ALL COUNTRIES,247008641238,2022-01-01,2022,1,1,-0.03829777531496614,254414681998.33334,250673885093.33334,216280052878.36,28489948399.289165,1.0785764835013427,0
-,TOTAL FOR ALL COUNTRIES,233955405508,2022-02-01,2022,2,1,-0.05284525943941709,245936429792.33334,248794530847.16666,216959874133.34616,28128742485.39024,0.6042051607348295,0
-,TOTAL FOR ALL COUNTRIES,295671872045,2022-03-01,2022,3,1,0.26379585632138625,258878639597.0,257347202071.16666,219875133315.25925,31468400869.786133,2.408661915913107,0
-,TOTAL FOR ALL COUNTRIES,272415114320,2022-04-01,2022,4,2,-0.07865732226791067,267347463957.66666,260881072978.0,221751561208.2857,32437192133.10697,1.5618970009430815,0
-,TOTAL FOR ALL COUNTRIES,285287161183,2022-05-01,2022,5,2,0.04725158842647592,284458049182.6667,265197239487.5,223942443966.0345,33967527622.307217,1.8059812271022957,0
-,TOTAL FOR ALL COUNTRIES,285977966370,2022-06-01,2022,6,2,0.002421438049071023,281226747291.0,270052693444.0,226010294712.83334,35246094406.39146,1.7013990533456733,0
-,TOTAL FOR ALL COUNTRIES,270390961822,2022-07-01,2022,7,3,-0.05450421494302615,280552029791.6667,273949746874.66666,227441929135.7097,35558606402.45175,1.2078379056871305,0
-,TOTAL FOR ALL COUNTRIES,283272952130,2022-08-01,2022,8,3,0.047642089148232314,279880626774.0,282169337978.3333,229186648604.28125,36346064407.063675,1.4880924360880006,0
-,TOTAL FOR ALL COUNTRIES,275053126912,2022-09-01,2022,9,3,-0.02901733171555243,276239013621.3333,278732880456.1667,230576541886.33334,36653833640.15122,1.213422461135041,0
-,TOTAL FOR ALL COUNTRIES,281439422433,2022-10-01,2022,10,4,0.02321840726807367,279921833825.0,280236931808.3333,232072508961.2353,37133280049.81279,1.329452001157479,0
-,TOTAL FOR ALL COUNTRIES,255571953755,2022-11-01,2022,11,4,-0.09191131951018006,270688167700.0,275284397237.0,232743921669.62857,36798138603.51886,0.6203583374510273,0
-,TOTAL FOR ALL COUNTRIES,253688357045,2022-12-01,2022,12,4,-0.007370122904040044,263566577744.33334,269902795682.83334,233325711541.16666,36436240307.88001,0.5588569328715713,0
-,TOTAL FOR ALL COUNTRIES,254625828620,2023-01-01,2023,1,1,0.0036953669688266633,254628713140.0,267275273482.5,233901390381.13513,36096867836.17266,0.5741339756381,0
-,TOTAL FOR ALL COUNTRIES,230169811758,2023-02-01,2023,2,1,-0.09604688178942689,246161332474.33334,258424750087.16666,233803190943.6842,35610876516.85634,-0.10203004084901846,0
-,TOTAL FOR ALL COUNTRIES,261243920316,2023-03-01,2023,3,1,0.13500514390076157,248679853564.66666,256123215654.5,234506799389.1282,35412852102.25103,0.7550117920372824,0
-,TOTAL FOR ALL COUNTRIES,249869197935,2023-04-01,2023,4,2,-0.04354062045631979,247094310003.0,250861511571.5,234890859352.775,35040184542.988,0.42746174934807435,0
-,TOTAL FOR ALL COUNTRIES,263244778083,2023-05-01,2023,5,2,0.05353032810182334,258119298778.0,252140315626.16666,235582418346.19513,34881622338.748505,0.7930353544959959,0
