CTY_CODE,CTY_NAME,GEN_VAL_MO,time
-,TOTAL FOR ALL COUNTRIES,195796204072,2020-01-01
0003,EUROPEAN UNION,35071255143,2020-01-01
0014,PACIFIC RIM COUNTRIES,65080414292,2020-01-01
0017,CAFTA-DR,1786453267,2020-01-01
0020,USMCA (NAFTA),53489130119,2020-01-01
0021,TWENTY LATIN AMERICAN REPUBLICS,36335626028,2020-01-01
0022,OECD,117883607060,2020-01-01
0023,NATO,57854742784,2020-01-01
0024,LAFTA,34459748953,2020-01-01
0025,EURO AREA,31221265195,2020-01-01
0026,APEC,131235003379,2020-01-01
0027,ASEAN,18661368671,2020-01-01
0028,CACM,1454255101,2020-01-01
1010,GREENLAND,2132614,2020-01-01
1220,CANADA,25286848208,2020-01-01
1610,ST PIERRE AND MIQUELON,3805,2020-01-01
1XXX,NORTH AMERICA,53491266538,2020-01-01
2010,MEXICO,28202281911,2020-01-01
2050,GUATEMALA,337856756,2020-01-01
2080,BELIZE,2785163,2020-01-01
2110,EL SALVADOR,161133190,2020-01-01
2150,HONDURAS,316206261,2020-01-01
2190,NICARAGUA,291459194,2020-01-01
2230,COSTA RICA,347599700,2020-01-01
2250,PANAMA,32461501,2020-01-01
2320,BERMUDA,1276402,2020-01-01
2360,BAHAMAS,28589263,2020-01-01
2390,CUBA,167500,2020-01-01
2410,JAMAICA,27872623,2020-01-01
2430,TURKS AND CAICOS ISLANDS,350076,2020-01-01
2440,CAYMAN ISLANDS,1570259,2020-01-01
2450,HAITI,56794807,2020-01-01
2470,DOMINICAN REPUBLIC,332198166,2020-01-01
2481,ANGUILLA,242981,2020-01-01
2482,BRITISH VIRGIN ISLANDS,700856,2020-01-01
2483,ST KITTS AND NEVIS,7285215,2020-01-01
2484,ANTIGUA AND BARBUDA,702357,2020-01-01
2485,MONTSERRAT,113266,2020-01-01
2486,DOMINICA,345761,2020-01-01
2487,ST LUCIA,956347,2020-01-01
2488,ST VINCENT AND THE GRENADINES,301616,2020-01-01
2774,SINT MAARTEN,14046006,2020-01-01
2489,GRENADA,703191,2020-01-01
2720,BARBADOS,6297459,2020-01-01
2740,TRINIDAD AND TOBAGO,209681406,2020-01-01
2777,CURACAO,3430462,2020-01-01
2779,ARUBA,1273562,2020-01-01
2831,GUADELOUPE,314822,2020-01-01
2839,MARTINIQUE,196405,2020-01-01
2XXX,CENTRAL AMERICA,2184912573,2020-01-01
3010,COLOMBIA,1237013182,2020-01-01
3070,VENEZUELA,13699969,2020-01-01
3120,GUYANA,14297342,2020-01-01
3150,SURINAME,4923610,2020-01-01
3170,FRENCH GUIANA,17007,2020-01-01
3310,ECUADOR,698525063,2020-01-01
3330,PERU,765511943,2020-01-01
3350,BOLIVIA,42495401,2020-01-01
3370,CHILE,971866033,2020-01-01
3510,BRAZIL,2092131275,2020-01-01
3530,PARAGUAY,14597804,2020-01-01
3550,URUGUAY,31606354,2020-01-01
3570,ARGENTINA,390020018,2020-01-01
3720,FALKLAND ISLANDS (ISLAS MALVINAS),2321146,2020-01-01
3XXX,SOUTH AMERICA,6279026147,2020-01-01
4000,ICELAND,36146739,2020-01-01
4010,SWEDEN,994433631,2020-01-01
4039,NORWAY,355462154,2020-01-01
4050,FINLAND,375196616,2020-01-01
4091,FAROE ISLANDS,16826628,2020-01-01
4099,DENMARK,996287284,2020-01-01
4231,BELGIUM,1541623158,2020-01-01
4120,UNITED KINGDOM,4602430446,2020-01-01
4190,IRELAND,6071146928,2020-01-01
4210,NETHERLANDS,2291361728,2020-01-01
4239,LUXEMBOURG,54799124,2020-01-01
4271,ANDORRA,112855,2020-01-01
4272,MONACO,2136837,2020-01-01
4279,FRANCE,3621658344,2020-01-01
4280,GERMANY,9830804851,2020-01-01
4330,AUSTRIA,843138187,2020-01-01
4351,CZECH REPUBLIC,437905257,2020-01-01
4359,SLOVAKIA,356214882,2020-01-01
4370,HUNGARY,447722028,2020-01-01
4411,LIECHTENSTEIN,22825999,2020-01-01
4419,SWITZERLAND,3264901141,2020-01-01
4470,ESTONIA,64822900,2020-01-01
4490,LATVIA,47503691,2020-01-01
4510,LITHUANIA,104676024,2020-01-01
4550,POLAND,678438681,2020-01-01
4621,RUSSIA,1831221986,2020-01-01
4622,BELARUS,79566578,2020-01-01
4623,UKRAINE,104507130,2020-01-01
4631,ARMENIA,4882665,2020-01-01
4632,AZERBAIJAN,3433963,2020-01-01
4633,GEORGIA,28902681,2020-01-01
4634,KAZAKHSTAN,104059681,2020-01-01
4635,KYRGYZSTAN,346588,2020-01-01
4641,MOLDOVA,5686482,2020-01-01
4642,TAJIKISTAN,90741,2020-01-01
4643,TURKMENISTAN,277119,2020-01-01
4720,GIBRALTAR,5900,2020-01-01
4644,UZBEKISTAN,16288011,2020-01-01
4700,SPAIN,1231497164,2020-01-01
4710,PORTUGAL,316283359,2020-01-01
4730,MALTA,12707927,2020-01-01
4751,SAN MARINO,1244092,2020-01-01
4752,VATICAN CITY,144035,2020-01-01
4759,ITALY,4257152495,2020-01-01
4791,CROATIA,37239937,2020-01-01
4792,SLOVENIA,84127588,2020-01-01
4793,BOSNIA AND HERZEGOVINA,7475378,2020-01-01
4794,MACEDONIA,16225910,2020-01-01
4801,SERBIA,35471873,2020-01-01
4803,KOSOVO,338766,2020-01-01
4804,MONTENEGRO,517320,2020-01-01
4810,ALBANIA,3951502,2020-01-01
4840,GREECE,106838378,2020-01-01
4850,ROMANIA,180375397,2020-01-01
4870,BULGARIA,77587733,2020-01-01
4890,TURKEY,846175171,2020-01-01
4910,CYPRUS,9711851,2020-01-01
4XXX,EUROPE,46462911514,2020-01-01
5020,SYRIA,258220,2020-01-01
5040,LEBANON,10839255,2020-01-01
5050,IRAQ,474860319,2020-01-01
5070,IRAN,159000,2020-01-01
5081,ISRAEL,1645391524,2020-01-01
5082,GAZA STRIP ADMINISTERED BY ISRAEL,12786,2020-01-01
5083,WEST BANK ADMINISTERED BY ISRAEL,412365,2020-01-01
5110,JORDAN,173063554,2020-01-01
5130,KUWAIT,128132078,2020-01-01
5210,YEMEN,83275,2020-01-01
5170,SAUDI ARABIA,1048960413,2020-01-01
5180,QATAR,92293140,2020-01-01
5200,UNITED ARAB EMIRATES,273249362,2020-01-01
5230,OMAN,78415004,2020-01-01
5250,BAHRAIN,73683731,2020-01-01
5310,AFGHANISTAN,2275711,2020-01-01
5330,INDIA,4978750914,2020-01-01
5350,PAKISTAN,347521047,2020-01-01
5360,NEPAL,7774792,2020-01-01
5380,BANGLADESH,691314262,2020-01-01
5420,SRI LANKA,286047142,2020-01-01
5460,BURMA,98704285,2020-01-01
5490,THAILAND,2980749496,2020-01-01
5520,VIETNAM,6125356435,2020-01-01
5530,LAOS,6951768,2020-01-01
5550,CAMBODIA,557497088,2020-01-01
5570,MALAYSIA,3533764630,2020-01-01
5590,SINGAPORE,2515582219,2020-01-01
5600,INDONESIA,1855648275,2020-01-01
5601,TIMOR-LESTE,669281,2020-01-01
5610,BRUNEI,13422944,2020-01-01
5650,PHILIPPINES,973691531,2020-01-01
5660,MACAU,9246925,2020-01-01
5682,BHUTAN,48614,2020-01-01
5683,MALDIVES,2609374,2020-01-01
5700,CHINA,32944673286,2020-01-01
5740,MONGOLIA,1000799,2020-01-01
5800,"KOREA, SOUTH",6349241957,2020-01-01
